client_id,benefit_type,start_date,end_date,duration_months,transition_to_work,benefit_amount,region
1,Unemployment Benefits,2023-01-15,2023-07-15,6,Yes,800.00,North
2,Disability Benefits,2022-06-01,2024-06-01,24,No,1200.00,South
3,Job Training,2023-03-01,2023-09-01,6,Yes,500.00,East
4,Healthcare Support,2021-01-01,,36,No,900.00,West
5,Career Counseling,2023-05-01,2023-08-01,3,Yes,300.00,North
6,Unemployment Benefits,2023-02-01,2023-11-01,9,Yes,850.00,South
7,Skills Training,2023-04-15,2023-10-15,6,Yes,600.00,East
8,Mental Health Support,2022-08-01,2024-08-01,24,No,700.00,West
9,Job Placement,2023-06-01,2023-09-01,3,Yes,400.00,North
10,Unemployment Benefits,2023-03-15,2023-12-15,9,No,820.00,South